Date,ALFA.ST,ALIV-SDB.ST,ASSA-B.ST,ATCO-A.ST,ATCO-B.ST,AXFO.ST,BOL.ST,CAST.ST,ELUX-B.ST,ERIC,ESSITY-B.ST,EVO.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,INVE-B.ST,KINV-B.ST,NDA-SE.ST,SAND.ST,SCA-B.ST,SEB-A.ST,SHB-A.ST,SKF-B.ST,SWED-A.ST,TEL2-B.ST,TELIA.ST,VOLV-B.ST
2021-10-31,340.8979187011719,820.2513427734375,232.16412353515625,128.0501708984375,107.5430908203125,184.91151428222656,257.5046081542969,179.2032470703125,166.569091796875,9.260788917541504,246.80938720703125,1376.520263671875,356.51043701171875,137.38729858398438,129.03152465820312,182.28872680664065,336.6499938964844,101.53819274902344,186.6968688964844,124.03694152832033,100.11383819580078,67.740234375,170.9830322265625,134.77256774902344,84.8660888671875,25.563610076904297,152.57615661621094
2021-11-30,324.5807800292969,862.9440307617188,234.2872772216797,129.66696166992188,109.90943145751952,215.3054962158203,264.9007568359375,199.8382873535156,189.0540008544922,8.519583702087402,256.2268981933594,942.1217651367188,351.5009460449219,131.4139404296875,133.3956756591797,193.3881378173828,322.6499938964844,104.19172668457033,192.61964416503903,136.58885192871094,98.21222686767578,66.01815032958984,178.11447143554688,137.09584045410156,92.58660888671876,27.178491592407227,149.1417999267578
2021-12-31,337.83837890625,929.6168823242188,256.81304931640625,146.20822143554688,124.19065856933594,228.7456512451172,297.5457458496094,191.2860870361328,204.92518615722656,9.260788917541504,262.44598388671875,1274.46044921875,366.5294799804687,143.01220703125,148.4693603515625,210.7935485839844,322.75,107.47933197021484,216.82586669921875,148.90919494628906,96.65428161621094,67.40959930419922,184.30081176757812,136.91537475585938,92.58660888671876,27.563861846923828,160.00192260742188
2022-01-31,288.7943420410156,889.0697631835938,235.2415008544922,126.91006469726562,109.8860855102539,207.92662048339844,317.5238037109375,171.04335021972656,178.69102478027344,10.547246932983398,232.68316650390625,1125.036865234375,335.451904296875,123.6485595703125,152.85476684570312,185.4335479736328,275.20001220703125,106.93463897705078,207.9845733642578,149.09445190429688,91.70060729980467,68.01577758789062,174.24803161621094,136.4943389892578,96.78205108642578,28.50199508666992,158.93350219726562
2022-02-28,287.4036865234375,836.6551513671875,233.9397735595703,115.50870513916016,100.97199249267578,218.5557403564453,360.0303649902344,166.02191162109375,159.4121856689453,7.906175136566162,217.4019470214844,1090.752685546875,343.80108642578125,128.17837524414062,133.77919006347656,179.64886474609375,243.1000061035156,102.79108428955078,177.59808349609375,144.04588317871094,84.25088500976562,62.546409606933594,151.04933166503906,115.42696380615234,90.18408966064452,27.493793487548828,140.25831604003906
2022-03-31,301.58843994140625,713.6292724609375,237.00811767578125,114.8779067993164,100.22527313232422,268.9781799316406,406.447509765625,183.04779052734375,133.59815979003906,7.786900520324707,197.4119873046875,959.2637939453124,349.73828125,132.16061401367188,105.19915008544922,190.8017120361328,247.5,94.6401596069336,172.53366088867188,169.93711853027344,78.68280029296875,59.85995101928711,132.27557373046875,106.01356506347656,102.05323791503906,29.38172721862793,134.7786407470703
2022-04-30,256.71636962890625,729.6686401367188,233.38185119628903,105.57926177978516,91.96456909179688,259.2789611816406,366.5763854980469,153.70364379882812,145.52627563476562,6.881810665130615,239.48631286621097,1017.0317993164062,265.8753662109375,127.92947387695312,104.36542510986328,176.90921020507812,195.1000061035156,96.96410369873048,161.58935546875,177.9962615966797,90.498291015625,72.72171783447266,145.84385681152344,126.94510650634766,93.44720458984376,31.82631492614746,120.91919708251952
2022-05-31,249.8409118652344,762.1336059570312,225.21824645996097,103.08228302001952,88.2801513671875,257.5317687988281,357.1173095703125,150.06121826171875,145.85342407226562,6.985556125640869,235.08197021484375,1013.4963989257812,266.18707275390625,118.37210083007812,112.23577117919922,169.39378356933594,194.8500061035156,97.1599578857422,176.1857452392578,166.7779083251953,87.45598602294922,69.885009765625,154.7822265625,119.34215545654295,96.0881805419922,31.987628936767575,141.33990478515625
2022-06-30,233.7282562255859,730.8799438476562,203.74659729003903,90.10037231445312,80.04540252685547,264.3585510253906,295.75274658203125,103.98285675048828,132.45932006835938,6.397662162780762,245.08351135253903,922.90283203125,222.3555450439453,105.86888885498048,104.60436248779295,158.25440979003906,164.8000030517578,88.13138580322266,146.10203552246094,144.09762573242188,81.4525146484375,63.58604431152344,135.19862365722656,104.5811004638672,93.71514129638672,31.31622314453125,130.86294555664062
2022-07-31,286.2365417480469,866.0006713867188,223.99932861328125,111.2655258178711,98.04954528808594,289.5997009277344,306.2975158691406,130.10928344726562,140.3687744140625,6.518699645996094,236.7335968017578,970.8291625976562,214.7367706298828,118.5233383178711,110.7353973388672,177.657470703125,181.9499969482422,97.83563232421876,163.98489379882812,139.42953491210938,88.95685577392578,66.27729034423828,152.89572143554688,113.39728546142578,93.27271270751952,29.949434280395508,150.015625
