Date,AMP.MI,CPR.MI,DIA.MI,ELN.MI,ENEL.MI,ENI.MI,ERG.MI,G.MI,HER.MI,IG.MI,IP.MI,ISP.MI,ITM.MI,LDO.MI,MB.MI,MONC.MI,MS.MI,NEXI.MI,PRY.MI,RACE.MI,REC.MI,SPM.MI,SRG.MI,STLAM.MI,TIT.MI,TRN.MI,UCG.MI,UNI.MI,YKY.MI
2021-10-31,42.226356506347656,11.925315856933594,187.0006866455078,16.00063705444336,5.561593532562256,9.46206283569336,26.61736488342285,14.77194881439209,2.9973366260528564,4.435402870178223,61.92258071899414,1.6603527069091797,24.157085418701172,6.02449369430542,7.267522811889648,57.782920837402344,,14.32263469696045,30.610349655151367,199.3578338623047,48.34672546386719,4.4008917808532715,3.878209829330444,12.573270797729492,0.3080999851226806,5.341757774353027,9.004576683044434,3.742994546890259,
2021-11-30,41.42890167236328,12.49827480316162,180.68275451660156,14.058363914489746,5.155004024505615,8.880792617797852,24.75875663757324,14.242937088012695,2.88547682762146,4.498419284820557,57.89153671264648,1.4867972135543823,25.191822052001953,5.686102867126465,6.883538246154785,59.606082916259766,,12.92135238647461,30.694597244262695,225.32296752929688,49.525909423828125,4.087619304656982,3.9391913414001465,11.035324096679688,0.4600000083446502,5.452871799468994,8.426027297973633,3.663167953491211,
2021-12-31,45.58909225463867,12.483708381652832,160.29312133789062,14.409822463989258,5.415559768676758,9.321703910827637,24.247209548950195,14.965927124023438,3.102417230606079,4.889445781707764,62.60250473022461,1.6480345726013184,25.868379592895508,5.988373756408691,7.597960472106934,59.550262451171875,,13.336017608642578,30.99414825439453,221.2385711669922,50.95061874389648,4.281384468078613,4.197368621826172,12.162178993225098,0.4341999888420105,5.986545085906982,10.6755952835083,3.803232192993164,
2022-01-31,36.058135986328125,10.769686698913574,131.048828125,13.188965797424316,5.211880207061768,10.151655197143556,22.013465881347656,14.925762176513672,3.116823673248291,4.740791320800781,52.79203414916992,1.8984285593032837,25.23162078857422,6.066317558288574,7.597960472106934,52.40646743774414,,12.306503295898438,27.830142974853516,197.3156280517578,44.67422103881836,3.135040521621704,3.928102970123291,12.369182586669922,0.4162000119686126,5.848536014556885,11.027138710021973,3.9440925121307377,
2022-02-28,36.94205474853515,9.466448783874512,127.93772888183594,12.023599624633787,5.215506076812744,10.551374435424805,24.093748092651367,14.242937088012695,2.9363222122192383,4.668079853057861,47.07087326049805,1.6621668338775637,24.4356689453125,7.604284286499023,7.008761882781982,50.397274017333984,,11.69642162322998,27.633562088012695,187.4449920654297,39.4619255065918,2.4504830837249756,4.0148234367370605,11.93185329437256,0.3779000043869018,6.178411483764648,8.976200103759766,3.6074602603912354,
2022-03-31,38.95009231567383,10.250140190124512,135.8351287841797,13.373943328857422,4.795831203460693,10.140973091125488,25.713638305664062,16.685041427612305,2.8354790210723877,4.7052435874938965,44.38998794555664,1.5099735260009766,23.002958297729492,8.573830604553223,6.92910099029541,47.19744491577149,,10.009162902832031,28.98154067993164,193.2312164306641,41.15727615356445,2.6593308448791504,4.23072624206543,10.78750228881836,0.3334999978542328,6.552043437957764,7.767866611480713,3.963192939758301,
2022-04-30,36.72107696533203,10.473495483398438,119.70532989501952,12.356561660766602,4.914383411407471,10.214204788208008,28.049692153930664,14.540166854858398,3.013437986373902,4.992857933044434,37.66835403442383,1.4167011976242063,24.037694931030273,9.338061332702637,7.22369909286499,46.769561767578125,,8.981554985046387,29.224924087524418,197.41287231445312,41.472896575927734,2.510817050933838,4.224256992340088,9.46238899230957,0.2781000137329101,6.535213947296143,7.019061088562012,4.1541900634765625,
2022-05-31,30.802661895751953,9.710041999816896,117.26431274414062,11.66289234161377,4.7768635749816895,10.830567359924316,27.58930206298828,13.616344451904297,2.9363222122192383,4.855514049530029,41.28171920776367,1.4715629816055298,21.848831176757812,9.52436637878418,7.180110454559326,41.57914733886719,,9.036843299865724,28.654766082763672,177.576904296875,37.586219787597656,2.74064302444458,4.374661922454834,10.966670036315918,0.2976000010967254,6.639561653137207,9.101340293884276,3.963192939758301,
2022-06-30,28.33357810974121,9.80087184906006,120.9144515991211,11.607548713684082,4.125617027282715,8.917322158813477,25.957406997680664,13.003829956054688,2.338888645172119,4.69128942489624,35.58001708984375,1.343472599983215,22.58366584777832,9.1992826461792,6.20612907409668,38.62068939208984,,7.534515857696533,24.98474502563477,171.507568359375,37.94105911254883,2.3619556427001953,4.042316913604736,9.280821800231934,0.2496999949216842,6.301272869110107,7.569141864776611,3.669820785522461,
2022-07-31,31.20083999633789,10.567556381225586,130.95848083496094,13.741081237792969,3.8798186779022217,9.222753524780272,27.884071350097656,12.457199096679688,2.478738784790039,4.71240234375,40.64611053466797,1.3046780824661257,23.312171936035156,8.811238288879395,6.282784461975098,45.92398834228515,,8.440107345581055,29.50316047668457,201.8542327880859,39.513179779052734,0.7487999796867371,4.086966514587402,10.957225799560549,0.2161999940872192,6.460311412811279,7.999160289764404,3.4573843479156494,
2022-08-31,25.233837127685547,9.579167366027832,126.46763610839844,12.726008415222168,3.857670307159424,9.295175552368164,27.708919525146484,12.504175186157228,2.2115800380706787,4.336592674255371,34.56288528442383,1.300451397895813,23.69784927368164,7.875720024108887,5.943093299865723,42.121368408203125,,7.818585395812988,29.179054260253903,189.12820434570312,37.237266540527344,0.647665798664093,3.951791763305664,10.51018524169922,0.2060000002384185,6.133753776550293,8.18118667602539,3.541173934936523,
2022-09-30,26.057207107543945,8.899406433105469,110.87045288085938,10.92143440246582,3.470301866531372,8.588275909423828,24.748865127563477,11.974626541137695,1.9338054656982424,4.033411026000977,32.68510437011719,1.2852052450180054,20.141029357910156,7.013498783111572,6.057326316833496,39.998313903808594,,7.952041149139404,28.235336303710938,187.65982055664065,34.449493408203125,0.589425802230835,3.459486484527588,9.65860366821289,0.1903000026941299,5.399431228637695,8.732277870178223,3.3803651332855225,
