Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,BA.L,BAB.L,BARC.L,BLND.L,BP.L,BRBY.L,BT-A.L,BTRW.L,CCH.L,CPG.L,CRDA.L,DCC.L,DGE.L,DPLM.L,ENT.L,EXPN.L,FRES.L,GSK.L,HSBA.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JD.L,LAND.L,LLOY.L,MKS.L,NG.L,NXT.L,OCDO.L,PHNX.L,PRU.L,PSH.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RR.L,RS1.L,RTO.L,SBRY.L,SDR.L,SGE.L,SHEL.L,SMIN.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TATE.L,TPK.L,TSCO.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2022-07-31,2889.643798828125,1670.426025390625,1914.0645751953125,1157.7147216796875,395.0616760253906,769.3668212890625,342.3356018066406,156.9744873046875,491.1223449707031,399.27301025390625,1794.4705810546875,161.472412109375,499.8985290527344,2009.38525390625,1913.4117431640625,7475.15283203125,5343.052734375,3877.86279296875,2746.6474609375,1201.6270751953125,2861.825439453125,736.7251586914062,1725.15087890625,512.4983520507812,1268.41796875,1794.72119140625,593.78466796875,4371.890625,73.37177276611328,129.5116729736328,729.5967407226562,45.16746139526367,141.41685485839844,1129.61328125,6799.45654296875,839.4000244140625,641.7241821289062,1005.3536376953124,2658.70068359375,1881.12158203125,756.0192260742188,2424.508544921875,4913.17822265625,6637.482421875,89.2589111328125,1031.910888671875,540.8648681640625,220.5725555419922,504.0176696777344,703.9989624023438,2175.91845703125,1541.096923828125,1046.52783203125,11927.228515625,1765.2347412109375,563.5841064453125,1226.16552734375,2945.64599609375,801.9657592773438,1051.9697265625,262.25091552734375,1088.5091552734375,120.47122955322266,1668.9248046875,882.2117309570312,2595.400634765625
2022-08-31,2726.06005859375,1523.564208984375,2117.64599609375,1100.2537841796875,417.7078552246094,775.5616455078125,328.9381408691406,164.28492736816406,430.0315551757813,440.6975708007813,1746.51123046875,150.39486694335938,426.3605346679687,1968.2003173828125,1857.9432373046875,6719.84423828125,4956.5546875,3759.98828125,2510.763671875,1272.075927734375,2621.924072265625,687.9698486328125,1377.444580078125,527.5630493164062,1214.4638671875,1891.9891357421875,546.4176635742188,3955.282958984375,64.15290832519531,112.91992950439452,649.1734008789062,43.8047981262207,121.87142944335938,1076.2025146484375,5807.61376953125,726.0,600.4577026367188,903.0194091796876,2788.636962890625,1473.7451171875,862.1377563476562,2260.609375,4760.03076171875,6639.4794921875,76.99044036865234,1084.85498046875,520.6773681640625,203.0066070556641,456.1614074707031,714.7929077148438,2286.76171875,1489.6439208984375,1014.5574340820312,10528.140625,1650.473876953125,597.546875,1105.796630859375,2782.88671875,763.40576171875,848.1693115234375,248.369384765625,1055.0550537109375,115.36515808105467,1456.5616455078125,743.0621948242188,2501.494873046875
2022-09-30,2680.6611328125,1260.312255859375,1910.57177734375,1114.743896484375,387.3670959472656,789.1504516601562,278.547607421875,144.1304473876953,350.074462890625,432.3658752441406,1806.460205078125,121.14471435546876,341.44769287109375,1892.269775390625,1803.9739990234375,6440.1005859375,4682.91064453125,3793.90869140625,2322.856201171875,1085.2784423828125,2659.907958984375,768.5253295898438,1304.0986328125,466.2743225097656,1092.068359375,1850.793701171875,518.86328125,3703.519287109375,57.148963928222656,100.17333221435548,520.7230834960938,41.3262825012207,98.65686798095705,929.4474487304688,4797.37646484375,472.5,525.308837890625,893.2725219726562,2698.786865234375,1235.6094970703125,866.1989135742188,2200.788330078125,4886.908203125,5968.98046875,69.58135223388672,967.978271484375,477.2253112792969,173.962890625,388.6677551269531,696.8031005859375,2243.545654296875,1508.6265869140625,1049.5247802734375,10393.228515625,1525.6270751953125,566.2186889648438,1035.01318359375,2351.524169921875,679.2933349609375,775.6404418945312,206.5251007080078,887.5844116210938,100.84479522705078,1405.594482421875,748.6521606445312,2299.69677734375
2022-10-31,2556.206787109375,1348.2294921875,2013.85791015625,1174.7879638671875,417.2029418945313,813.7302856445312,275.54815673828125,147.58636474609375,365.2472839355469,478.9867248535156,1813.454345703125,129.5804443359375,375.63336181640625,1900.7620849609375,1835.4560546875,6754.28564453125,4833.71484375,3594.59716796875,2484.7763671875,1262.1607666015625,2772.86181640625,728.3605346679688,1426.9383544921875,446.3182067871094,1159.510986328125,2119.18359375,555.2395629882812,3650.884033203125,66.84673309326172,97.41405487060548,569.222900390625,41.9553108215332,105.47527313232422,946.8185424804688,4925.28076171875,472.3999938964844,540.86474609375,810.3214721679688,2833.7265625,1303.0062255859375,959.7340087890624,2339.711669921875,4528.5751953125,5773.21044921875,78.14028930664062,957.4893798828124,544.0868530273438,194.0240173339844,391.06390380859375,726.38623046875,2400.839111328125,1559.0806884765625,1029.173828125,10742.9990234375,1554.092041015625,519.66650390625,1063.9854736328125,2499.3056640625,700.2715454101562,821.9949340820312,214.8140563964844,938.1151123046876,101.3633804321289,1521.51953125,764.6234741210938,2569.42724609375
2022-11-30,3339.18896484375,1579.5115966796875,2022.8438720703125,1407.6468505859375,443.34674072265625,822.029052734375,283.74664306640625,161.05055236816406,393.5965881347656,496.6567687988281,2175.145751953125,121.1946258544922,397.1009521484375,2013.1591796875,1870.9359130859375,6788.2568359375,4383.2998046875,3804.398681640625,2798.621826171875,1401.0684814453125,2903.808349609375,896.8126220703125,1404.967041015625,508.5813293457031,1347.3507080078125,2120.181396484375,613.8016357421875,4041.55029296875,74.70751953125,126.01646423339844,612.9323120117188,46.83279037475586,120.52174377441406,1012.8082885742188,5835.5927734375,622.5999755859375,587.13330078125,978.822021484375,2963.66796875,1270.0565185546875,994.5098876953124,2310.7275390625,5574.62939453125,5941.01318359375,90.90870666503906,917.0321044921876,541.0885620117188,222.1694793701172,441.6815185546875,796.146484375,2440.78662109375,1587.3377685546875,1084.629150390625,11198.1591796875,1706.405029296875,616.766845703125,1148.405029296875,2707.997314453125,730.04052734375,923.83935546875,227.24148559570312,1022.599365234375,91.59003448486328,1770.5179443359375,864.2200927734375,2581.41455078125
2022-12-31,3171.6171875,1574.5162353515625,2133.671142578125,1544.56396484375,441.8499145507813,855.406005859375,282.1469421386719,158.333740234375,394.5054626464844,474.1435852050781,2028.271240234375,111.86045837402344,396.2023010253906,1971.1976318359375,1916.4100341796875,6598.41748046875,4075.252197265625,3646.54833984375,2774.633544921875,1320.6219482421875,2811.84619140625,901.0089721679688,1435.8704833984375,514.568115234375,1601.13427734375,2066.7705078125,619.1980590820312,4030.559814453125,75.00691223144531,126.11642456054688,620.2055053710938,45.340087890625,123.2710952758789,995.8950805664062,5801.61865234375,616.7999877929688,606.8772583007812,1126.8345947265625,2913.79150390625,1215.140625,938.5487060546876,2286.740966796875,5787.2333984375,5747.2412109375,93.18842315673828,894.6218872070312,507.707763671875,217.31776428222656,435.2919006347656,745.1754760742188,2323.14306640625,1597.3304443359375,1108.6097412109375,10608.521484375,1709.9007568359375,621.7617797851562,1093.9569091796875,2647.08740234375,710.5131225585938,888.6683959960938,223.9452362060547,990.0440673828124,84.0458755493164,1668.0748291015625,818.8924560546875,2567.676025390625
2023-01-31,3397.006591796875,1854.593017578125,2196.572998046875,1731.4505615234375,454.7222595214844,856.205322265625,305.3425598144531,185.6216278076172,441.73431396484375,488.0714111328125,2459.09423828125,124.46410369873048,459.1073303222656,1959.7080078125,1929.90234375,6880.17919921875,4600.64013671875,3516.671142578125,2728.65625,1487.5108642578125,2951.78857421875,820.6796264648438,1421.6875,595.0911254882812,1573.928955078125,2026.8519287109375,668.7659912109375,4341.294921875,80.71524810791016,162.7083740234375,707.0382690429688,52.499061584472656,145.7658233642578,1023.453369140625,6613.75341796875,646.0,638.986083984375,1338.7095947265625,2898.797119140625,1409.8427734375,922.9595336914062,2400.67822265625,6307.26611328125,5763.22216796875,105.72686767578124,939.0782470703124,490.417724609375,262.138916015625,477.1239013671875,776.3577880859375,2371.083251953125,1725.7364501953125,1113.6058349609375,11522.962890625,1721.38671875,678.50341796875,1221.3355712890625,2812.286865234375,752.272705078125,1014.1649780273438,245.6205596923828,1056.7105712890625,92.9054183959961,1781.0120849609375,942.2952880859376,3038.25
2023-02-28,2826.673828125,2005.478515625,2197.5712890625,1569.049072265625,445.4421997070313,897.376708984375,328.1383056640625,174.43479919433594,446.0278625488281,549.623291015625,2464.090087890625,139.14218139648438,468.3933715820313,2125.056884765625,1919.1292724609375,6556.453125,4616.62158203125,3525.662841796875,2781.00830078125,1358.5965576171875,2803.98388671875,762.7304077148438,1423.6851806640625,634.2049560546875,1625.8936767578125,2000.90478515625,667.9664916992188,4170.4404296875,88.21993255615234,181.05368041992188,686.4777221679688,52.53899383544922,159.96249389648438,1046.4188232421875,6837.60986328125,548.7999877929688,631.6070556640625,1268.7508544921875,2938.781005859375,1450.28076171875,917.76318359375,2501.622314453125,5701.39306640625,5755.23193359375,144.9219970703125,976.5414428710938,512.1051635742188,267.7290954589844,496.5921936035156,748.2894287109375,2523.39599609375,1762.209716796875,1185.04833984375,11677.8671875,1743.658447265625,783.395751953125,1280.279296875,2747.372802734375,801.6250610351562,1003.1740112304688,254.7102508544922,1016.7591552734376,99.55006408691406,1897.947509765625,1022.3674926757812,3086.20703125
2023-03-31,2624.313720703125,1938.5294189453125,2034.8253173828125,1580.04248046875,403.3327941894531,981.9180297851562,298.7437744140625,145.67083740234375,387.2165222167969,510.0369873046875,2583.997314453125,145.58255004882812,465.79730224609375,2210.978271484375,2032.0780029296875,6492.50732421875,4712.509765625,3610.58251953125,2808.99853515625,1255.6649169921875,2659.037109375,745.3456420898438,1427.413330078125,548.4935302734375,1683.8541259765625,1860.639892578125,692.1506958007812,4049.543701171875,82.63134002685547,177.70452880859375,620.0877075195312,47.601600646972656,166.96084594726562,1094.845458984375,6567.78271484375,535.0,544.8533935546875,1101.3497314453125,2823.9287109375,1254.0810546875,843.8145141601562,2616.559326171875,5467.828125,6150.767578125,149.00149536132812,913.1036987304688,591.2596435546875,278.21063232421875,459.25299072265625,774.6785888671875,2305.87939453125,1715.244140625,1121.0997314453125,11847.763671875,1801.0977783203125,613.6826171875,1209.8465576171875,2875.20361328125,783.8421020507812,955.6132202148438,265.3981018066406,1058.7078857421875,89.09423065185547,1857.969482421875,957.07177734375,2984.29931640625
2023-04-30,2396.626220703125,1954.5172119140625,2307.39990234375,1459.615478515625,422.300537109375,1013.2962646484376,317.34033203125,159.73837280273438,399.5978393554687,533.6016845703125,2588.9931640625,158.6130828857422,499.2468566894531,2421.785400390625,2096.049072265625,6974.099609375,4938.24658203125,3618.8916015625,2685.04248046875,1443.1431884765625,2808.982421875,710.7759399414062,1439.39990234375,572.7063598632812,1765.7984619140625,1963.953369140625,722.1312255859375,4152.4560546875,80.6154556274414,161.00880432128906,672.99267578125,48.12580108642578,164.3114776611328,1142.7730712890625,6735.6748046875,505.2000122070313,590.3956909179688,1210.903076171875,2758.952880859375,1311.992431640625,886.545166015625,2644.5439453125,5041.19189453125,6422.447265625,152.131103515625,920.4963989257812,632.0362548828125,275.9146728515625,485.0682678222656,818.2604370117188,2449.21630859375,1679.77001953125,1313.660888671875,11083.23046875,1835.5614013671875,627.8706665039062,1205.3509521484375,2928.133544921875,814.2127685546875,957.2118530273438,280.7806091308594,1080.68115234375,95.67901611328124,1838.9801025390625,925.7218627929688,3244.06396484375
2023-05-31,2179.5087890625,1824.1162109375,2321.378173828125,1337.0245361328125,393.5481567382813,927.706787109375,308.14202880859375,151.20590209960938,342.4838562011719,452.6229248046875,2152.33203125,146.63101196289062,462.2071838378906,2385.818603515625,2201.001220703125,6095.38037109375,4591.65087890625,3344.127685546875,3030.91943359375,1318.2174072265625,2830.974365234375,647.525634765625,1344.905029296875,589.3745727539062,1954.170166015625,1691.944580078125,696.5479125976562,4150.45751953125,69.685302734375,151.96112060546875,600.9219970703125,44.116153717041016,178.55813598632812,1104.3311767578125,6341.927734375,369.0,551.0891723632812,1055.4796142578125,2746.958251953125,1200.228515625,797.7907104492188,2508.984619140625,4774.60498046875,6239.7490234375,143.28221130371094,795.8187255859375,638.2879028320312,270.1248779296875,455.00738525390625,870.6387329101562,2217.979248046875,1604.9490966796875,1201.232666015625,10919.36328125,1879.5150146484375,633.0662231445312,1113.9381103515625,2769.343505859375,785.2407836914062,872.7362060546875,260.5036315917969,1011.2658081054688,76.19403076171875,1693.728515625,852.4387817382812,3283.028564453125
2023-06-30,2188.82080078125,1989.4906005859375,2079.230712890625,1460.4808349609375,394.5465087890625,926.5074462890624,282.5468444824219,153.24411010742188,302.3443298339844,457.71527099609375,2118.3583984375,122.16751861572266,412.9703674316406,2343.589111328125,2201.001220703125,5621.73974609375,4394.02978515625,3376.099853515625,2983.107421875,1271.2452392578125,3016.9072265625,609.7533569335938,1387.392333984375,620.59716796875,1947.175048828125,1735.5743408203125,725.529052734375,4262.0673828125,68.1877670288086,145.962646484375,573.1718139648438,43.536865234375,192.6548309326172,1038.9300537109375,6895.572265625,568.0,530.5380249023438,1107.953857421875,2849.027099609375,1024.414794921875,821.5784912109375,2619.939697265625,4977.79052734375,5906.08447265625,151.03125,759.4544677734375,614.699462890625,268.5277099609375,436.7311401367187,924.4163818359376,2340.0654296875,1642.9241943359375,1267.1904296875,10359.6513671875,1839.0577392578125,682.4246215820312,1086.8052978515625,2562.616455078125,725.2987670898438,811.968505859375,248.18067932128903,960.4278564453124,73.79955291748047,1755.2003173828125,822.0872802734375,3383.451904296875
2023-07-31,2346.63525390625,2048.60546875,2126.16796875,1676.90380859375,387.75775146484375,930.9051513671876,374.32958984375,154.82272338867188,337.6046142578125,482.3311462402344,2221.74072265625,121.81805419921876,456.1150207519531,2290.62060546875,2026.2197265625,5885.53955078125,4506.92822265625,3394.584228515625,3237.031005859375,1385.177734375,3008.216552734375,617.74755859375,1383.19677734375,645.1535034179688,1975.9559326171875,1836.4049072265625,757.7821655273438,4359.00048828125,72.22112274169922,157.65963745117188,646.371337890625,44.88022232055664,206.25164794921875,1030.265625,7043.47705078125,938.4000244140624,548.8943481445312,1081.966552734375,2996.9765625,1157.7735595703125,864.1566162109375,2618.9404296875,5142.0361328125,5832.15771484375,184.82704162597656,783.9657592773438,634.6897583007812,277.0045471191406,458.70257568359375,936.2819213867188,2363.54052734375,1697.8883056640625,1184.2435302734375,11119.259765625,1683.721923828125,746.7703857421875,939.3995971679688,2551.22216796875,745.9077758789062,870.3374633789062,257.7722473144531,998.074462890625,74.2950668334961,1834.1644287109375,850.4763793945312,3496.36669921875
2023-08-31,2058.94189453125,1991.1444091796875,2486.687744140625,1447.4853515625,374.57958984375,1006.9646606445312,386.3273315429687,147.2294464111328,323.22149658203125,486.8248596191406,2182.762939453125,115.42759704589844,452.7193908691406,2276.629150390625,1992.2327880859375,5517.818359375,4323.09423828125,3240.716064453125,3133.0625,1156.813232421875,2761.280517578125,574.9788818359375,1387.392333984375,582.0654296875,1992.447265625,1786.4888916015625,730.397216796875,4137.1533203125,70.68366241455078,145.21954345703125,601.6424560546875,42.30337142944336,226.74685668945312,989.0150146484376,6984.92236328125,871.5999755859375,519.7637329101562,965.7239379882812,2986.97998046875,1064.871826171875,838.5697021484375,2576.957275390625,4864.96484375,5696.2939453125,222.2723846435547,759.5855712890625,601.5059814453125,269.71502685546875,411.2643737792969,970.6702880859376,2408.993896484375,1638.927001953125,1069.31689453125,10129.771484375,1625.39306640625,711.0005493164062,884.23486328125,2397.3896484375,705.939453125,861.1422729492188,265.4654541015625,946.12255859375,73.0772705078125,1833.6646728515625,764.78955078125,3437.411376953125
